epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5071,1.14267,2.95299,1.3472,0.00674,1,0.35562,0.31816,0.61106,3.1832,0.97564,1.667e-05,1.667e-05,1.667e-05
2,21.5058,1.0734,2.96968,1.36374,0.00673,1,0.39322,0.34887,0.59643,3.18828,0.96397,4.95149e-05,4.95149e-05,4.95149e-05
3,31.177,0.88973,2.90223,1.22223,0.00669,1,0.40592,0.31395,0.63303,3.17997,0.94218,8.16997e-05,8.16997e-05,8.16997e-05
4,41.0882,0.86626,2.76098,1.18497,0.00671,1,0.55503,0.41233,0.72022,3.15808,0.9706,0.000113224,0.000113224,0.000113224
5,51.3762,0.75211,2.66435,1.10932,0.00676,1,0.5973,0.49658,0.73367,3.15649,0.94486,0.000144089,0.000144089,0.000144089
6,64.2678,0.88904,2.50465,1.21237,0.0067,1,0.705,0.57678,0.72811,3.04424,0.95932,0.000174293,0.000174293,0.000174293
7,83.3785,0.81074,2.29615,1.20705,0.00676,1,0.84571,0.61765,0.68525,3.04483,0.97423,0.000203837,0.000203837,0.000203837
8,102.39,0.89095,2.09663,1.21288,0.0068,1,0.72393,0.51275,0.71035,3.06855,0.95465,0.000232722,0.000232722,0.000232722
9,121.399,0.89115,1.9185,1.19324,0.00683,1,0.68543,0.46506,0.68881,3.08719,0.96788,0.000260946,0.000260946,0.000260946
10,140.118,0.92652,1.83576,1.20412,0.00683,1,0.80446,0.53488,0.6509,3.09826,0.97645,0.000288509,0.000288509,0.000288509
11,158.74,0.81245,1.74075,1.175,0.00681,1,0.83471,0.60269,0.65947,3.03755,0.96743,0.000315413,0.000315413,0.000315413
12,177.733,0.92824,1.69742,1.20054,0.00688,1,0.90071,0.66096,0.63411,3.04432,0.94123,0.000341657,0.000341657,0.000341657
13,196.378,0.92177,1.56459,1.17665,0.00701,1,0.9125,0.61324,0.68075,3.04987,0.97609,0.00036724,0.00036724,0.00036724
14,215.215,0.87501,1.48482,1.19652,0.00706,1,0.90071,0.63616,0.68855,3.04646,0.99496,0.000392163,0.000392163,0.000392163
15,233.819,0.84548,1.48712,1.17855,0.00718,1,0.87125,0.61597,0.78692,3.02882,1.04027,0.000416427,0.000416427,0.000416427
16,252.758,0.87539,1.31211,1.21812,0.00749,1,0.8795,0.62452,0.83535,3.02294,1.07773,0.00044003,0.00044003,0.00044003
17,271.987,0.98566,1.40338,1.28362,0.00773,1,0.731,0.45956,0.82556,3.10806,1.14367,0.000462973,0.000462973,0.000462973
18,290.667,1.07358,1.44593,1.36008,0.00779,1,0.82,0.53254,0.90151,3.09222,1.17595,0.000485255,0.000485255,0.000485255
